Time,Global accumulated stop Delay
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,1.8161047772540946
58,3.632209554508189
59,5.448314331762283
60,9.006532717558457
61,12.56475110335463
62,16.122969489150805
63,22.122969489150805
64,28.122969489150805
65,34.122969489150805
66,38.92696183605288
67,43.73095418295496
68,48.53494652985704
69,56.98320802371065
70,65.43146951756427
71,73.87973101141787
72,82.87973101141787
73,91.87973101141787
74,100.87973101141787
75,105.87973101141787
76,110.87973101141787
77,115.87973101141787
78,118.87973101141787
79,121.87973101141787
80,124.87973101141787
81,130.4219464633773
82,135.96416191533672
83,141.50637736729612
84,149.50637736729612
85,157.50637736729612
86,165.50637736729612
87,174.4756675248796
88,183.4449576824631
89,192.41424784004658
90,206.23169492723315
91,220.04914201441971
92,233.86658910160628
93,249.9848574223819
94,266.10312574315753
95,282.22139406393313
96,292.22139406393313
97,302.22139406393313
98,312.22139406393313
99,321.8330795982565
100,331.4447651325799
101,341.0564506669033
102,353.391416219264
103,365.7263817716247
104,378.0613473239854
105,392.0613473239854
106,406.0613473239854
107,420.0613473239854
108,432.0613473239854
109,444.0613473239854
110,456.0613473239854
111,468.0613473239854
112,480.0613473239854
113,492.0613473239854
114,503.44285737588507
115,514.8243674277848
116,526.2058774796844
117,533.278952899212
118,540.3520283187395
119,547.425103738267
120,556.425103738267
121,565.425103738267
122,574.425103738267
123,584.772742132583
124,595.1203805268989
125,605.4680189212148
126,617.4680189212148
127,629.4680189212148
128,641.4680189212148
129,655.9754343060534
130,670.4828496908921
131,684.9902650757307
132,696.9902650757307
133,708.9902650757307
134,720.9902650757307
135,731.6986239432313
136,742.4069828107318
137,753.1153416782324
138,768.0417167748541
139,782.9680918714757
140,797.8944669680974
141,812.0262302429836
142,826.1579935178698
143,840.2897567927561
144,850.9360151338855
145,861.5822734750149
146,872.2285318161443
147,884.2285318161443
148,896.2285318161443
149,908.2285318161443
150,923.3735169076256
151,938.5185019991069
152,953.6634870905882
153,960.6634870905882
154,967.6634870905882
155,974.6634870905882
156,977.6634870905882
157,980.6634870905882
158,983.6634870905882
159,988.2049992734045
160,992.7465114562208
161,997.2880236390371
162,1002.774515453015
163,1008.261007266993
164,1013.747499080971
165,1020.2014268769462
166,1026.6553546729215
167,1033.1092824688967
168,1039.3126069167422
169,1045.5159313645877
170,1051.7192558124332
171,1060.7192558124332
172,1069.7192558124332
173,1078.7192558124332
174,1087.7192558124332
175,1096.7192558124332
176,1105.7192558124332
177,1114.7192558124332
178,1123.7192558124332
179,1132.7192558124332
180,1138.7192558124332
181,1144.7192558124332
182,1150.7192558124332
183,1157.8629622834399
184,1165.0066687544465
185,1172.1503752254532
186,1183.6991954390014
187,1195.2480156525496
188,1206.7968358660978
189,1221.4988591053623
190,1236.2008823446267
191,1250.9029055838912
192,1262.9029055838912
193,1274.9029055838912
194,1286.9029055838912
195,1303.732038936461
196,1320.561172289031
197,1337.390305641601
198,1355.390305641601
199,1373.390305641601
200,1391.390305641601
201,1399.3319006152922
202,1407.2734955889835
203,1415.2150905626747
204,1424.2150905626747
205,1433.2150905626747
206,1442.2150905626747
207,1453.6358251066638
208,1465.0565596506528
209,1476.477294194642
210,1490.9897061407264
211,1505.502118086811
212,1520.0145300328954
213,1535.0145300328954
214,1550.0145300328954
215,1565.0145300328954
216,1572.0145300328954
217,1579.0145300328954
218,1586.0145300328954
219,1589.0145300328954
220,1592.0145300328954
221,1595.0145300328954
222,1598.0145300328954
223,1601.0145300328954
224,1604.0145300328954
225,1607.054979003258
226,1610.0954279736206
227,1613.1358769439832
228,1621.457810208158
229,1629.7797434723327
230,1638.1016767365074
231,1649.1519878612999
232,1660.2022989860923
233,1671.2526101108847
234,1677.2526101108847
235,1683.2526101108847
236,1689.2526101108847
237,1695.2526101108847
238,1701.2526101108847
239,1707.2526101108847
240,1716.0090485423518
241,1724.765486973819
242,1733.521925405286
243,1739.521925405286
244,1745.521925405286
245,1751.521925405286
246,1754.521925405286
247,1757.521925405286
248,1760.521925405286
249,1766.3710064929064
250,1772.2200875805268
251,1778.069168668147
252,1783.069168668147
253,1788.069168668147
254,1793.069168668147
255,1796.069168668147
256,1799.069168668147
257,1802.069168668147
258,1807.4700265479114
259,1812.8708844276757
260,1818.27174230744
261,1831.4683076190354
262,1844.6648729306307
263,1857.861438242226
264,1865.861438242226
265,1873.861438242226
266,1881.861438242226
267,1887.861438242226
268,1893.861438242226
269,1899.861438242226
270,1906.945437310101
271,1914.0294363779758
272,1921.1134354458507
273,1926.263354396867
274,1931.4132733478834
275,1936.5631922988998
276,1939.5631922988998
277,1942.5631922988998
278,1945.5631922988998
279,1948.5631922988998
280,1951.5631922988998
281,1954.5631922988998
282,1962.3558567342604
283,1970.148521169621
284,1977.9411856049817
285,1982.103972614065
286,1986.2667596231483
287,1990.4295466322317
288,1996.4295466322317
289,2002.4295466322317
290,2008.4295466322317
291,2020.995592692949
292,2033.5616387536663
293,2046.1276848143837
294,2056.1276848143834
295,2066.1276848143834
296,2076.1276848143834
297,2085.1276848143834
298,2094.1276848143834
299,2103.1276848143834
300,2112.1276848143834
301,2121.1276848143834
302,2130.1276848143834
303,2140.439929362891
304,2150.752173911398
305,2161.0644184599055
306,2170.0644184599055
307,2179.0644184599055
308,2188.0644184599055
309,2198.800429154264
310,2209.536439848622
311,2220.2724505429806
312,2231.2724505429806
313,2242.2724505429806
314,2253.2724505429806
315,2262.2724505429806
316,2271.2724505429806
317,2280.2724505429806
318,2289.2724505429806
319,2298.2724505429806
320,2307.2724505429806
321,2316.2724505429806
322,2325.2724505429806
323,2334.2724505429806
324,2339.822178992902
325,2345.3719074428236
326,2350.921635892745
327,2354.898099050827
328,2358.874562208909
329,2362.851025366991
330,2371.759074517738
331,2380.667123668485
332,2389.575172819232
333,2400.266597692546
334,2410.9580225658597
335,2421.6494474391734
336,2435.751894685144
337,2449.854341931115
338,2463.9567891770857
339,2477.1319224104604
340,2490.307055643835
341,2503.48218887721
342,2512.48218887721
343,2521.48218887721
344,2530.48218887721
345,2544.220351177634
346,2557.9585134780577
347,2571.6966757784817
348,2586.6966757784817
349,2601.6966757784817
350,2616.6966757784817
351,2636.4595414481505
352,2656.2224071178193
